Country Code,Region,IncomeGroup,Country Name
AFG,South Asia,Low income,Afghanistan
ALB,Europe & Central Asia,Upper middle income,Albania
DZA,Middle East & North Africa,Lower middle income,Algeria
ASM,East Asia & Pacific,Upper middle income,American Samoa
AND,Europe & Central Asia,High income,Andorra
AGO,Sub-Saharan Africa,Lower middle income,Angola
ATG,Latin America & Caribbean,High income,Antigua and Barbuda
ARB,,,Arab World
ARG,Latin America & Caribbean,Upper middle income,Argentina
ARM,Europe & Central Asia,Upper middle income,Armenia
ABW,Latin America & Caribbean,High income,Aruba
AUS,East Asia & Pacific,High income,Australia
AUT,Europe & Central Asia,High income,Austria
AZE,Europe & Central Asia,Upper middle income,Azerbaijan
BHS,Latin America & Caribbean,High income,"Bahamas, The"
BHR,Middle East & North Africa,High income,Bahrain
BGD,South Asia,Lower middle income,Bangladesh
BRB,Latin America & Caribbean,High income,Barbados
BLR,Europe & Central Asia,Upper middle income,Belarus
BEL,Europe & Central Asia,High income,Belgium
BLZ,Latin America & Caribbean,Upper middle income,Belize
BEN,Sub-Saharan Africa,Lower middle income,Benin
BMU,North America,High income,Bermuda
BTN,South Asia,Lower middle income,Bhutan
BOL,Latin America & Caribbean,Lower middle income,Bolivia
BIH,Europe & Central Asia,Upper middle income,Bosnia and Herzegovina
BWA,Sub-Saharan Africa,Upper middle income,Botswana
BRA,Latin America & Caribbean,Upper middle income,Brazil
VGB,Latin America & Caribbean,High income,British Virgin Islands
BRN,East Asia & Pacific,High income,Brunei Darussalam
BGR,Europe & Central Asia,Upper middle income,Bulgaria
BFA,Sub-Saharan Africa,Low income,Burkina Faso
BDI,Sub-Saharan Africa,Low income,Burundi
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde
KHM,East Asia & Pacific,Lower middle income,Cambodia
CMR,Sub-Saharan Africa,Lower middle income,Cameroon
CAN,North America,High income,Canada
CSS,,,Caribbean small states
CYM,Latin America & Caribbean,High income,Cayman Islands
CAF,Sub-Saharan Africa,Low income,Central African Republic
CEB,,,Central Europe and the Baltics
TCD,Sub-Saharan Africa,Low income,Chad
CHI,Europe & Central Asia,High income,Channel Islands
CHL,Latin America & Caribbean,High income,Chile
CHN,East Asia & Pacific,Upper middle income,China
COL,Latin America & Caribbean,Upper middle income,Colombia
COM,Sub-Saharan Africa,Lower middle income,Comoros
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep."
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep."
CRI,Latin America & Caribbean,Upper middle income,Costa Rica
CIV,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire
HRV,Europe & Central Asia,High income,Croatia
CUB,Latin America & Caribbean,Upper middle income,Cuba
CUW,Latin America & Caribbean,High income,Curaçao
CYP,Europe & Central Asia,High income,Cyprus
CZE,Europe & Central Asia,High income,Czech Republic
DNK,Europe & Central Asia,High income,Denmark
DJI,Middle East & North Africa,Lower middle income,Djibouti
DMA,Latin America & Caribbean,Upper middle income,Dominica
DOM,Latin America & Caribbean,Upper middle income,Dominican Republic
EAR,,,Early-demographic dividend
EAS,,,East Asia & Pacific
EAP,,,East Asia & Pacific (excluding high income)
TEA,,,East Asia & Pacific (IDA & IBRD)
ECU,Latin America & Caribbean,Upper middle income,Ecuador
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep."
SLV,Latin America & Caribbean,Lower middle income,El Salvador
GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea
ERI,Sub-Saharan Africa,Low income,Eritrea
EST,Europe & Central Asia,High income,Estonia
SWZ,Sub-Saharan Africa,Lower middle income,Eswatini
ETH,Sub-Saharan Africa,Low income,Ethiopia
EMU,,,Euro area
ECS,,,Europe & Central Asia
ECA,,,Europe & Central Asia (excluding high income)
TEC,,,Europe & Central Asia (IDA & IBRD)
EUU,,,European Union
FRO,Europe & Central Asia,High income,Faroe Islands
FJI,East Asia & Pacific,Upper middle income,Fiji
FIN,Europe & Central Asia,High income,Finland
FCS,,,Fragile and conflict affected situations
FRA,Europe & Central Asia,High income,France
PYF,East Asia & Pacific,High income,French Polynesia
GAB,Sub-Saharan Africa,Upper middle income,Gabon
GMB,Sub-Saharan Africa,Low income,"Gambia, The"
GEO,Europe & Central Asia,Upper middle income,Georgia
DEU,Europe & Central Asia,High income,Germany
GHA,Sub-Saharan Africa,Lower middle income,Ghana
GIB,Europe & Central Asia,High income,Gibraltar
GRC,Europe & Central Asia,High income,Greece
GRL,Europe & Central Asia,High income,Greenland
GRD,Latin America & Caribbean,Upper middle income,Grenada
GUM,East Asia & Pacific,High income,Guam
GTM,Latin America & Caribbean,Upper middle income,Guatemala
GIN,Sub-Saharan Africa,Low income,Guinea
GNB,Sub-Saharan Africa,Low income,Guinea-Bissau
GUY,Latin America & Caribbean,Upper middle income,Guyana
