Country Name,Country Code,Sector,Unit,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Afghanistan,AFG,Industrial Processes,MtCO₂e,0.74,0.59,0.53,0.45,0.38,0.31,0.25,0.22,0.2,0.18,0.16,0.14,0.14,0.14,0.12,0.12,0.11,0.12,0.11,0.1,0.08,0.07,0.07,0.06,0.06,0.05,0.05
Afghanistan,AFG,Agriculture,MtCO₂e,15.35,15.15,16.22,15.73,15.78,15.91,15.85,13.86,13.45,12.12,12.05,12.08,11.79,12.05,11.57,9.28,10.99,12.79,11.75,10.95,9.98,8.97,8.54,8.5,8.42,8.41,8.09
Albania,ALB,Manufacturing/Construction,MtCO₂e,0.6,0.7,0.9,0.6,0.6,1.1,1,0.8,0.5,0.6,0.7,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.2,0.5,0.5,0.5,0.5,0.8,1.4,2.1
Albania,ALB,Agriculture,MtCO₂e,3.21,3.19,3.14,3.1,3.12,3.07,3.06,3.05,3.16,3.37,3.53,3.62,3.64,3.78,3.74,3.66,3.77,3.66,3.65,3.75,4.02,4.34,4.28,3.39,3.17,3.24,3.55
Albania,ALB,Industrial Processes,MtCO₂e,1.39,1.41,1.41,1.46,1.4,1.2,0.95,0.83,0.71,0.66,0.45,0.4,0.44,0.43,0.14,0.13,0.21,0.16,0.13,0.12,0.15,0.13,0.1,0.17,0.19,0.41,0.51
Algeria,DZA,Industrial Processes,MtCO₂e,16.81,16.53,15.1,13.41,13.18,13.05,12.49,12.01,10.93,9.9,9,7.68,6.66,5.55,5.32,4.78,4.56,4.12,4.07,3.82,3.49,3.58,3.23,3.56,3.73,3.86,4.04
Algeria,DZA,Manufacturing/Construction,MtCO₂e,10.9,10.8,10.2,10,10.1,10.8,10.7,9.8,10.1,9.7,8.7,8.2,8.1,7,6.6,6.3,6.2,6.1,5.7,5.3,5.9,6.3,6,6.2,6.3,6.2,5.7
Algeria,DZA,Agriculture,MtCO₂e,12.42,12.56,12.43,11.82,11.6,10.81,10.54,10.01,9.1,9.5,9.37,8.91,9.5,8.62,8.22,8.59,8.37,8.46,8.34,7.56,7.71,7.62,7.7,8.1,7.96,7.63,7.89
Andorra,AND,Agriculture,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,Industrial Processes,MtCO₂e,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0
