Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Manufacturing value (US$),,,,,,33251396.65,34636871.51,37944134.08,46530726.26,62011173.18,73480446.93,74039106.15,74597765.36,75156424.58,75715083.8,76273743.02,76832402.23,77391061.45,77949720.67,78508379.89,,,,,,,
Afghanistan,AFG,Manufacturing value (US$),,,,,,,,,,,,,763296400.3,764207132.4,917509079.2,1030605840,1142282594,1729986353,1803396550,1635724602,1985651755,2453287221,2497416618,2364495706,2351170625,2273393319,2201622546
Angola,AGO,Manufacturing value (US$),,,,,,201958350.5,259342533.5,334875882.4,407249039,198301063.2,263860200.8,346102756.8,559731834.5,712475155.6,1102692323,1446628996,1892429280,2218727582,3064973678,3592289538,3805983583,4659175915,5638537979,6599453741,6940376391,6605777276,6828570644
Albania,ALB,Manufacturing value (US$),,,,,,,155433310.8,103517723.2,120269118.8,145586966,150277415.1,160765418.3,176816983.3,231428661.3,300145513.9,356374117.2,436350422.1,565560739.6,643779218.2,626007047.9,650270116.3,729860608.7,568489853.4,646452419.4,704507394.8,645803922.9,674240892.5
Andorra,AND,Manufacturing value (US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Manufacturing value (US$),,,,,,,,,1.06E+11,1.12E+11,1.27E+11,1.30E+11,1.32E+11,1.44E+11,1.62E+11,1.87E+11,2.08E+11,2.30E+11,2.76E+11,2.45E+11,2.85E+11,3.25E+11,3.46E+11,3.53E+11,3.61E+11,3.14E+11,3.05E+11
United Arab Emirates,ARE,Manufacturing value (US$),3799509670,3826750204,4113320621,4363116317,3906837374,4452465268,4883138110,6224734405,6531518039,7226412526,9465486726,13754663036,14345813479,15247923758,17018107556,19159972771,21449693669,23278420694,27131654187,23314635807,23036895848,27012117086,28724302246,29376446562,31297735848,31635125936,32078420694
Argentina,ARG,Manufacturing value (US$),37867881956,46265967383,50011204825,43181479379,45873469700,44502096300,47723427100,53382062500,53326264700,48089824700,46877339400,43241974900,19884659445,28690164511,31181294719,36449209846,41576107686,49016520323,59795791836,51890313731,67123175368,84034582760,83081051123,82864793306,77752039861,84344878154,75199976820
Armenia,ARM,Manufacturing value (US$),,,,,,,,,,,,,,,,,,,,,,,1000845272,1076844300,1122222602,971558318.6,1084633088
American Samoa,ASM,Manufacturing value (US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Manufacturing value (US$),11571311.48,10935481.48,10280518.52,9767259.259,9962592.593,9889814.815,10288148.15,11176777.78,12145851.85,12942555.56,13482629.63,13929518.52,14801370.37,16309444.44,17066074.07,18327333.33,21043962.96,22244925.93,21761518.52,25319444.44,24770370.37,25555555.56,25318518.52,32362962.96,34429629.63,35862962.96,39181481.48
Australia,AUS,Manufacturing value (US$),42971142747,40990503100,40972083365,40207982012,42657212037,48318235818,51143399090,53605415558,49841280608,46549066299,48139797777,41633573039,41673294265,50708794409,66702944942,71671177267,73760856544,79174844940,96921217547,78307318510,91574914120,1.03E+11,1.09E+11,1.04E+11,93305792711,85025376487,73469937400
Austria,AUT,Manufacturing value (US$),32595386905,33319366293,36049726021,33240693245,35326635345,43160024567,41832583832,37884203405,38690429080,38856562966,35847014925,36193923937,37825014116,45674221219,52166141048,55004253202,59886488521,70561675335,74946360041,65476173937,64578049123,71547041245,68399084746,70942971005,73194626824,63725490950,67124637222
Azerbaijan,AZE,Manufacturing value (US$),1561933534,1464297450,1091964701,710914474.9,419701998.2,352053733.8,331318298.1,332622333.8,370121628.3,276809190.6,279047182.9,353162246.3,463382020.2,628385257.6,719039381.3,859318806.9,1211327513,1647243911,2298807205,2447499378,2543665130,2630365962,2951883910,3126577438,3541756981,2648838571,1866892273
Burundi,BDI,Manufacturing value (US$),133812151.5,148352459.6,93133560.25,79077429.98,86506532.42,82619976.14,54500412.88,94802299.99,92113341.62,91378496.52,94893712.38,95788227.37,91509292.41,86649686.5,104804589.2,132769070.9,132013381,150665094,155099457.6,169067238.3,187887952.7,208355990.5,206047290.7,234025960.2,273939176.1,269320542.9,277073197.2
Belgium,BEL,Manufacturing value (US$),,,,,,52813218391,50725472313,46496842580,46946765948,44679735777,41420766538,40307919463,43188594015,51416591422,59297367768,61193756995,61263329570,70832329592,72093891900,62180466796,64152206928,67573149367,62638957729,65532096255,67180622381,58662201842,58800259367
Benin,BEN,Manufacturing value (US$),144567171,142237019.7,134632926.4,168914307.5,128717736,175248859.9,195385918.2,192092908.4,196091043,484134845.6,491008050.3,572832441.3,653037917.3,840440085.5,915038980.3,1028796050,1084986094,1121100519,1194161833,1185204200,1119438484,1254708431,1193479717,1367170307,1379814596,1142878262,1173981481
Burkina Faso,BFA,Manufacturing value (US$),457411497,419369381.6,324233493.7,331783780.7,254877213.2,336006112,345800737.5,351404168.3,387091359.3,267595691.8,454065719.8,476263105.4,535434128.2,737322439.6,823937268.3,819644243.9,918701113.3,1091911087,1224970417,1275246305,1227306585,1402783044,1299101612,1367254712,1533180073,1375053978,1425873036
Bangladesh,BGD,Manufacturing value (US$),4183373454,4330061263,4565273706,5111802526,5358902327,6032422652,6502616137,6811990632,7427621145,7377371048,7490618167,7655077835,7835086192,8509758204,9403023611,10238666667,10993750892,12685416379,14774963565,16888530705,18584403329,20577869200,21222528250,24661459165,28720955218,32751122557,37707553113
Bulgaria,BGR,Manufacturing value (US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Manufacturing value (US$),707351329.8,731603723.4,661627393.6,798316755.3,895620744.7,1114481383,,,,,,,,,,,2451276596,3143670213,3881462766,3207154255,3723856383,4330186170,4568776596,4821462766,4984148936,5398138298,5835452128
"Bahamas, The",BHS,Manufacturing value (US$),120438000,149360000,135535000,131806000,133966000,121136000,154169000,148600000,136400000,210100000,233200000,184000000,224300000,214000000,243300000,235200000,256400000,243700000,220900000,208900000,214800000,220700000,315800000,273900000,296400000,289400000,390900000
Bosnia and Herzegovina,BIH,Manufacturing value (US$),,,,,144487654.3,213470588.2,318626063.3,412045441.4,496855941.4,501376906.3,467915214.3,491171303.1,559176612.1,727218118.9,993924127,1115872067,1288749278,1705854444,2104748352,1845496839,1869659376,2035260502,1816589804,1988203788,2030318817,1891948398,2092049658
Belarus,BLR,Manufacturing value (US$),8264000000,8000000000,6666666667,4578512397,4034071836,3909030224,4361846154,4294946849,4486992716,3422615776,3444492988,3286330935,3789893914,4751730863,6607777778,7655246054,9238508159,11277213420,15910533708,11424991049,12880832494,16317788945,16278757347,16612950450,16619913928,11654715559,9617159228
Belize,BLZ,Manufacturing value (US$),46966608.07,46312750,53311700,54391250,56777700,60524050,64291650,62776300,64696600,66192900,79110850,77646450,77313400,76993000,82396200,86132500,123932550,142486450,171425700,152852750,170592850,200418000,189555550,160783150,146943300,121497350,117502900
Bermuda,BMU,Manufacturing value (US$),,,,,,,,,,,,77586000,84077000,71565000,78134000,80210000,90004000,84979000,90043000,76916000,74799000,65214000,52102000,49078000,,,
