Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,Industry value (US$),,,,,,203335195.5,206810055.9,262463687.2,291620111.7,267882681.6,296480446.9,305515642.5,296703352,339418994.4,392163687.2,431287150.8,474557541.9,496345810.1,495007262.6,404204469.3,,,,,,,
Afghanistan,AFG,Industry value (US$),,,,,,,,,,,,,965543405.1,1025522428,1370816289,1664800141,1966653211,2620448527,2720961614,2723802099,3353890830,4048741173,4231899640,4203629519,4348872122,4404257789,4225552558
Angola,AGO,Industry value (US$),,,,,,3339044728,5104486962,4646981369,3588659887,4474243885,6584533557,5798058745,8571519056,9461574028,12866467697,22331171894,30438252763,40389189578,53348780923,30974788504,43884484820,62631865168,72885404631,72952284482,67323882302,48723590535,43122816969
Albania,ALB,Industry value (US$),,,,,,,555895133.8,409007634.6,390726845.7,531170383.8,675037359,852494222.5,1004682285,1349877170,1772139249,2019597818,2251435017,2705665287,3241080117,2940434690,2974273861,3156227514,2823522012,2946366491,2845222696,2478194800,2507688342
Andorra,AND,Industry value (US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Industry value (US$),1.83E+11,1.83E+11,2.03E+11,1.93E+11,1.96E+11,2.17E+11,2.50E+11,2.61E+11,2.25E+11,2.58E+11,3.35E+11,3.21E+11,3.27E+11,3.82E+11,4.70E+11,6.24E+11,7.49E+11,8.50E+11,1.13E+12,8.34E+11,1.03E+12,1.37E+12,1.49E+12,1.49E+12,1.46E+12,1.04E+12,9.70E+11
United Arab Emirates,ARE,Industry value (US$),29864342141,24115227458,29993189867,28635794062,27434758921,29943067284,34112775810,35815309180,30287542546,35484547311,50621375085,51321443159,52212933969,61080190606,76393192648,1.01E+11,1.29E+11,1.41E+11,1.83E+11,1.32E+11,1.52E+11,2.04E+11,2.15E+11,2.15E+11,2.13E+11,1.57E+11,1.48E+11
Argentina,ARG,Industry value (US$),50917782541,62081175459,70201396124,64722201101,68876935900,67865473300,72371587300,79596589500,79855462400,74264967000,73866930600,67828286700,29862244294,41650893935,47449347397,56891104940,67914347258,78827167842,94990190458,84190456294,1.07E+11,1.34E+11,1.33E+11,1.33E+11,1.28E+11,1.38E+11,1.23E+11
Armenia,ARM,Industry value (US$),,,,,,,,,,,,,,,,,,,,,,,2955048237,2970437646,2933785792,2713125863,2697399020
American Samoa,ASM,Industry value (US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Industry value (US$),63913120,70156481.48,67315259.26,68007814.81,73829444.44,73290888.89,77614185.19,85164407.41,92138444.44,103527407.4,114787000,103120444.4,106244777.8,112904629.6,120057740.7,148522222.2,213614963,232899740.7,262147777.8,238582555.6,186137037,165307407.4,171418518.5,185277777.8,202314814.8,219992592.6,257700000
Australia,AUS,Industry value (US$),89711427472,90226826780,87550565254,83816048342,86545140090,97350014850,1.04E+11,1.10E+11,1.01E+11,95975686176,1.02E+11,89615756145,93262348263,1.12E+11,1.47E+11,1.71E+11,1.91E+11,2.19E+11,2.70E+11,2.50E+11,2.88E+11,3.69E+11,4.06E+11,3.96E+11,3.74E+11,3.20E+11,2.69E+11
Austria,AUT,Industry value (US$),49208014765,51278419918,56603669421,53884635396,57831283098,69543237341,68214413829,61020577292,62227345487,61742861709,55664427861,55666541387,58440071523,71962099323,82368822945,85547680637,91591092711,1.07E+11,1.16E+11,1.03E+11,1.00E+11,1.10E+11,1.05E+11,1.10E+11,1.12E+11,96122240988,1.00E+11
Azerbaijan,AZE,Industry value (US$),2661631418,2602829849,1823669071,1276610931,916367522.9,946153350.5,1116600791,1465872020,1554278220,1791432385,2242882243,2480725867,2878111500,3531765425,4406940063,7786862704,13630176852,21866216059,32007424537,24919258522,31738881276,40714575155,41474032587,42314085405,40321050618,23825785672,18008961584
Burundi,BDI,Industry value (US$),196157776.4,204701591.6,205625598.8,188884914.3,181055397.5,168078695.4,102394715.1,135139490.3,131306413.8,130258901.3,135269797.5,136544917.6,130445349.3,123518042,149397628.2,189160792.2,195021093,232672197,248467813,301413810.3,312667504.8,331117945.3,367520237,382078011.1,419348016.6,365230371.5,361294121.5
Belgium,BEL,Industry value (US$),,,,,,75018609743,72064364821,65981732070,66107468326,63831877264,58918463239,57508277405,61170995671,73717155756,84616091383,87037930606,90312758750,1.05E+11,1.11E+11,99157404835,1.00E+11,1.09E+11,99609581602,1.04E+11,1.05E+11,90904325789,91959590319
Benin,BEN,Industry value (US$),244082018.7,238027507.3,215774315.7,277885055.8,213152397.3,290563237.9,313247944.5,306690422,308518504.6,663368309.9,658582070.2,791442817.8,887363019.5,1161674022,1266695620,1418941733,1486885949,1591772090,1721606318,1738118225,1717225219,1939495828,1889205106,2158540927,2180200714,1865961042,1856151882
Burkina Faso,BFA,Industry value (US$),631708799.2,603668321.5,453870386,462978101.9,386851689.1,474592252.3,478310596.1,481769505.4,500841676.2,1928371043,646662726.8,657882672.9,743917011.2,1070197852,1233093823,1238970434,1341280824,1717202525,1934245010,2160794191,2634117030,3427454490,3374832302,3239505405,3475929876,2881226809,3194829689
Bangladesh,BGD,Industry value (US$),6365683595,6538067227,6886498674,7606494487,7925502152,8946505555,10069682152,10547494145,11326872247,11472233777,11890459153,12193291327,12498572175,13520207254,14831544080,16180097561,17305038402,19505343319,22657667365,25922343712,28769596138,32217757151,33752286038,39458093190,45487972929,52342330516,60548457702
Bulgaria,BGR,Industry value (US$),10579090909,4350483871,4042113402,3540144928,2904059041,3383839286,1988066329,2456520007,3261654738,3060110464,3028949277,3400407379,3950100626,5126290183,6034573678,7264730322,8722162509,11653694192,13600946825,13770747139,11727036686,14389379310,13381396846,12908781216,13334017772,11991563138,13022625000
Bahrain,BHR,Industry value (US$),1934475532,1840228723,1767942021,1973239894,2083655053,2336724468,,,,,,,,,,,8379601064,9977952128,12960265957,9886303191,11564787234,14249361702,14621010638,15601170213,15531888298,12543297872,12698297872
"Bahamas, The",BHS,Industry value (US$),449708000,488428000,479323000,404739000,475257000,471998000,506618000,804800000,866300000,891800000,981200000,793200000,942900000,964200000,936600000,1063200000,1193000000,983200000,1093600000,999200000,1161000000,1213000000,1397300000,1363600000,1493000000,1386800000,1599600000
Bosnia and Herzegovina,BIH,Industry value (US$),,,,,324691358,479709231.7,716013623.1,925944870.5,1129218049,1141296841,1066477155,1096124176,1182631858,1603676284,2176460635,2396030394,2696153550,3424369489,4424728880,4022757298,3846191508,4125305281,3711045855,4041795533,4094857550,3653671109,3917728070
Belarus,BLR,Industry value (US$),9937500000,8000000000,7777777778,5867768595,4866565962,4664387819,5049769231,5075797258,5374132848,4127539662,4264165462,4010863309,4643216080,5837006338,8104907407,11430176416,13749603730,16774044734,23590964419,18374507698,20252769386,22287638191,23832433729,27117454955,27883705008,18456423458,14774175714
Belize,BLZ,Industry value (US$),79683487.31,84258100,98163500,106821150,103413200,111269050,116534450,114191750,119099100,122686100,154235450,154876600,158195400,149101550,161006750,166796550,213969300,233995100,263540350,251826050,263165150,292449750,272077350,268668700,270232400,244106050,249831700
Bermuda,BMU,Industry value (US$),,,,,,,223717370,237558987,203498620,289225671,385365000,379403000,377345000,400577000,431355000,484434000,487858000,493217000,557904000,491272000,431873000,366634000,318476000,,,,
Bolivia,BOL,Industry value (US$),1552006997,1635375635,1702247917,1641748611,1682724597,1957000396,2067813621,2095160345,2220697265,2083190937,2161540713,2069633868,2013809205,2068801703,2354763735,2508468157,3166699286,3711672356,4958383737,5068251709,5923173714,7277359377,7945025760,8743489580,9115361795,8316847323,8596051520
Brazil,BRA,Industry value (US$),1.52E+11,1.90E+11,1.36E+11,1.58E+11,1.93E+11,1.80E+11,1.90E+11,2.00E+11,1.91E+11,1.30E+11,1.51E+11,1.27E+11,1.14E+11,1.29E+11,1.63E+11,2.16E+11,2.61E+11,3.23E+11,3.91E+11,3.65E+11,5.14E+11,6.04E+11,5.46E+11,5.25E+11,5.03E+11,3.49E+11,3.29E+11
Barbados,BRB,Industry value (US$),376373489.8,351464227.1,298450000,301496544.5,308854969.4,331327996.8,352607766.1,400785561.6,439815045,451449311.4,468300000,448750000,447950000,504050000,519700000,570850000,,,,,,,,,,,
Brunei Darussalam,BRN,Industry value (US$),2167192993,2205183897,2526824494,2349906424,2200147506,2569200437,2880295319,2912863281,2087712177,2538491209,3820920708,3363031869,3544681392,4206368270,5341627559,6820704158,8393857386,8733196205,10667160598,7019524268,9411074441,13648143732,13839628681,12670236573,11601578532,7934395229,6531362123
Bhutan,BTN,Industry value (US$),72603632.21,62647146,67527978.4,67669977.04,77771695.89,98867271.05,103411899.5,118946474.8,119672101.3,144225051.1,154661143.7,176722509,200832400.7,237083273.9,255124117.4,294206303.9,338476880,526904664,543581553.5,530776191.9,678249559.3,745968594.7,758982618.8,761616501,794352837.6,851270495.5,918666632.9
Botswana,BWA,Industry value (US$),2157081430,2111174317,2059226430,1991828649,1842546376,2076401414,2202183984,2293962967,2086017180,2457032264,2680034498,2457577210,2391210215,2975819431,3477457670,4255983132,4414417024,4572538200,3999384596,2890820254,4073994627,5380337019,4285671575,4691473193,5375127327,4323358673,5021639508
Central African Republic,CAF,Industry value (US$),,,,,,,,,,,,,,,,,,,,505995197.2,525147520.9,649438534.1,690864063.4,409206648.5,369157073.7,375205700.4,394901769.4
Canada,CAN,Industry value (US$),,,,,,,,1.83E+11,1.72E+11,1.91E+11,2.22E+11,2.12E+11,2.12E+11,2.53E+11,2.95E+11,3.46E+11,3.85E+11,4.26E+11,4.60E+11,3.49E+11,4.31E+11,4.92E+11,4.87E+11,4.92E+11,4.89E+11,3.80E+11,3.56E+11
Central Europe and the Baltics,CEB,Industry value (US$),,,,,,1.22E+11,1.30E+11,1.27E+11,1.36E+11,1.29E+11,1.24E+11,1.34E+11,1.49E+11,1.80E+11,2.24E+11,2.61E+11,3.01E+11,3.81E+11,4.63E+11,3.84E+11,3.90E+11,4.37E+11,3.97E+11,4.06E+11,4.28E+11,3.78E+11,3.79E+11
Switzerland,CHE,Industry value (US$),80190410668,79674594142,80641528090,76833682052,87963544710,1.00E+11,92948891019,78407087646,78565567389,76157269471,69208867717,73152467350,79900815283,92158513997,1.02E+11,1.06E+11,1.13E+11,1.26E+11,1.47E+11,1.38E+11,1.49E+11,1.82E+11,1.71E+11,1.76E+11,1.78E+11,1.71E+11,1.68E+11
Channel Islands,CHI,Industry value (US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Industry value (US$),12985774453,14139973943,16208652051,17252119911,20857010861,27941867024,26751167492,28707679329,25212421335,22966269780,24465693027,22587643950,22292070976,25274537692,35716303377,45323828160,63628694642,69344788756,61506952194,59371246262,78007185465,87534776010,86919246981,86838537025,80859627354,72629461593,72340999714
China,CHN,Industry value (US$),1.48E+11,1.59E+11,1.84E+11,2.05E+11,2.61E+11,3.43E+11,4.07E+11,4.53E+11,4.71E+11,4.96E+11,5.52E+11,6.00E+11,6.54E+11,7.57E+11,8.98E+11,1.07E+12,1.31E+12,1.66E+12,2.16E+12,2.34E+12,2.83E+12,3.51E+12,3.88E+12,4.23E+12,4.51E+12,4.52E+12,4.45E+12
Cote d'Ivoire,CIV,Industry value (US$),2835768701,2581025479,2726009170,2513340239,1749157850,2284510496,2478631710,2772290273,2872739773,2711283807,2304639916,2381417893,2605679694,3225640111,3643727777,3898241429,4188933774,4734312913,5908708539,6080678325,5581626547,6150747185,6437290070,8115691934,9693163018,8949000840,9158686654
Cameroon,CMR,Industry value (US$),3206644217,3591233075,2861471564,4415399615,3075410363,2486755801,2783018971,2862093170,2818764863,3078582849,3016624418,2710854041,3116667451,3912489664,4656066562,5040974042,5750187276,6405455166,7843040268,7035051631,7112286863,7987705428,8191762593,8940497218,9496072261,7788406420,7984561739
"Congo, Dem. Rep.",COD,Industry value (US$),,,,,923810647,951710010,1867294093,1294303633,1270818056,881686236.4,4276811594,2232666667,2846941009,2579197597,3272789809,3803774150,4297206163,5055762454,6574428745,6156931205,8343593769,10579500690,11797153836,13492272704,15433650873,15813527222,15285196735
"Congo, Rep.",COG,Industry value (US$),1137495606,981897287.9,1041588746,677357794.6,804784253.4,949417047.1,1317167117,1320781936,897869961.6,1442262950,2323251490,1829917528,1912227495,2138505434,3061795456,4375430476,5837173050,6148340321,9180496524,6822631237,9060033634,11068198399,10226086721,10146936746,9854665440,4678264994,4871633005
Colombia,COL,Industry value (US$),15069386374,15554433299,17350561682,20046257025,23787714434,27038882390,27709093467,28881976653,25981558913,23029620368,27274801347,26736003455,26968247496,27354936407,34803526953,44192730800,49961895357,63048412012,77817309524,72617431410,89898730477,1.12E+11,1.24E+11,1.25E+11,1.18E+11,83904812858,78311876733
Comoros,COM,Industry value (US$),52442036.64,51768050.49,55831434.25,55279661.48,38962648.31,48638051.74,48344888.7,44484589.39,45177087.67,46682948.78,42754210.11,46162168.38,51750253.57,66604649.46,77213363.09,79779818.72,85177824.39,98614467.7,110673057.1,108866580.7,106918511.9,119673548.1,114003728.7,130021027.2,133477173.7,100548297.6,99810059.17
Cabo Verde,CPV,Industry value (US$),92268457.1,96991960.28,115654356.2,110480936.8,124247750.1,137834567.3,145226598.4,128575542.6,137669065.2,138489501.7,117266784.8,107898394.7,118317491.4,150794909.1,168393112.8,186727275.1,211521643.2,255912874.2,335646931.1,329716702.9,302050877.5,331468465.6,296188844.9,324117857.3,348314356.1,289362700.1,284878311.2
Costa Rica,CRI,Industry value (US$),1467675333,1969810872,2386375260,2621128490,2789413742,3073744431,3032641223,3284583670,3555319115,3666388617,3819953821,4027897837,4071756006,4175307577,4590520135,4862633136,5387365365,6422040775,7252190304,7226477870,8661105488,9433081477,10193758009,10327536115,10202771300,10638487823,10939955883
